RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
62977,"[""North Indian"",""Desserts"",""Biryani""]",TRUE,0,23.01169070000000000000,72.51533080000000000000,3,Prahlad Nagar,LunchBox,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
42315,[""Fast Food""],FALSE,0,23.02114600000000000000,72.54349600000000000000,4,Paldi & Ambawadi,Tummy Fillers,"6, Shalibhadra Complex, Nehru Nagar, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02570900000000000000,72.54213800000002000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
55065,"[""North Indian"",""Chinese"",""Beverages"",""Biryani"",""Continental"",""Desserts"",""Fast Food"",""Snacks"",""Italian"",""Indian"",""Thalis""]",FALSE,0,23.01733300000000000000,72.56732299999999000000,3,Paldi & Ambawadi,Hotel The Lotus Park,"Iscon Square, Opposite Kothawala Flat, Ellisbridge, Paldi, Ahmedabad",Ahmedabad,Gujarat
43249,"[""Biryani"",""Indian"",""Desserts"",""Hyderabadi"",""Fast Food""]",FALSE,0,23.03294700000000000000,72.56558900000005000000,6,Navrangpura,Up & Up,"96/1, Ground Floor Block A, Shri Krishna Centre, Beside Passport Seva Kendra, Mithakali Cross Road, Navrangpura",Ahmedabad,Gujarat
65746,"[""Snacks"",""Fast Food""]",FALSE,0,23.01183900000000000000,72.52307500000006000000,6,Prahlad Nagar,Burgomania,"G-13, Titanium City Centre Opposite Vraj Nagri Aavas, Near Seema Hall, Satellite, Ahmedabad",Ahmedabad,Gujarat
42232,"[""North Indian"",""Chinese"",""Continental""]",FALSE,0,23.00827300000000000000,72.56123500000001000000,2,Paldi & Ambawadi,Navjivan,"Swaminarayan Complex, Jain Merchant Panch Rasta, Paldi, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02570900000000000000,72.54213800000002000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02570900000000000000,72.54213800000002000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
44388,"[""Indian"",""Chinese"",""Continental""]",FALSE,0,23.02167100000000000000,72.55699500000003000000,3,Paldi & Ambawadi,Alinea restaurant & Banquet,"3rd Eye 2, Opposite Parimal Garden,Panchvati Cross Road, C G Road, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02570900000000000000,72.54213800000002000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
56841,"[""Fast Food"",""Beverages""]",FALSE,0,23.02821500000000000000,72.55908399999998000000,4,Navrangpura,Ab Chai Pe Charcha,"Shop No:5, Galaxy Line Complex, Behind Samtheshwar Mahadev, Law Garden, Ahmedabad",Ahmedabad,Gujarat
35987,"[""Continental"",""Indian""]",FALSE,0,23.02591260000000000000,72.54212919999998000000,4,Navrangpura,Saheli Inn Restaurant,"Janpath Shopping Centre, Behind Sahjanad College, Ambavadi, Ahmedabad",Ahmedabad,Gujarat
